s_no,suburb,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,building_siz_m2,sale_price_aud,sale_date,description
1,Mosman,Townhouse,3,2,2,192,,2380000,10-Jun-2026,"Architect-designed luxury: By Bates Smart, with Calacutta marble bathrooms & custom shower screens.Premium Miele gas kitchen : Sleek gas kitchen with Miele appliances, Calacutta marble island. Walk to Mosman Village : Stroll to Cremorne Plaza, Mosman Village, cafes & CBD transport."
2,Mosman,Townhouse,3,2,2,155.6,,2080000,24-Apr-2026,"Set in a tightly held position above Mosman Bay and the ferry, this split-level townhouse offers the easy flow and charm of a terrace combined with a superb harbourside lifestyle. Enjoy pleasant water and district views, generous proportions and a layout that is immediately comfortable while offering exciting scope to enhance with cosmetic updates."
3,Mosman,Townhouse,2,1,1,185,,1835000,20-Mar-2026,"Conveniently located within a stylish boutique development, this architect designed terrace offers a fabulous low maintenance lifestyle. Combining a practical and spacious floor-plan with superior finishes this home will appeal to buyers of all ages."
4,Mosman,Townhouse,3,2,2,213,,2347000,05-Dec-2025,"Set within a boutique collection of four, this elegant tri-level townhouse delivers a lifestyle of convenience in the heart of Mosman. Designed for effortless indoor-outdoor living, the home enjoys front and rear courtyards that capture both morning and afternoon sun, offering idyllic spaces for quiet relaxation or alfresco entertaining. "
5,Mosman,Townhouse,3,1,2,764,,2220000,02-Oct-2025,"Set upon an idyllic streetscape above Mosman Bay, this split-level Mediterranean style terrace with elevated postcard views is part of a rare boutique collection of just five. "
6,Mosman,Townhouse,3,2,2,299,,2450000,22-Aug-2025,"On the market for the first time in twenty five years, this extraordinary townhouse presents an outstanding opportunity in a privileged lifestyle setting high on the Balmoral slopes. One of only five in an exclusive, secure complex it presents a vast 299 sqm on title, offering house-like accommodation without the maintenance."
7,Mosman,Townhouse,3,2,2,289,,2380000,23-May-2025,"Capturing a desirable northerly aspect, in a boutique block of only four, this corner-set townhouse presents a move-in ready opportunity with ample scope to update. Enjoy easy access to the lock-up garage via a private courtyard. It features private entry from the street, a stroll to buses, schools, Bridgepoint Shopping Centre and cafés."
8,Mosman,Townhouse,2,1,1,140,,1735000,07-Mar-2025,"Exclusive Harbourside Living in Charming Townhouse. Presenting an incredible opportunity in one of Mosman's most coveted harbourside pockets, this freshly updated townhouse offers an entertainer's lifestyle in a charming and well-appointed home."
9,Mosman,Townhouse,3,2,1,190,,2525000,07-Feb-2025,"Bespoke Townhouse In Cosmopolitan Pocket Of Mosman. A beautiful oasis in the heart of Avenue Road, this boutique townhouse offers the ultimate blend of sophistication, comfort and lifestyle appeal. Nestled to the rear of a bespoke group of four, you're enticed to your door via level access that caters for all demographics. Once inside, the sense of space and serenity is uplifting, as open interiors flow out to a private garden wrapped in foliage."
10,Mosman,Townhouse,3,2,2,289,,2600000,01-Feb-2025,"A magnificent light-filled townhouse. Flowing over two well proportioned levels and opening to capture the natural light of a due northern aspect, this immaculate townhouse enjoys a secluded corner setting in a boutique community. With only one common wall, it is but minutes to village life. "
11,Mosman,Townhouse,3,2,2,274,,3900000,15-Mar-2024,"Evoking a timeless sophistication, this beautiful modern townhome showcases immaculate interiors with house-like proportions and effortless indoor/outdoor living zones. Its desirable leafy street is a stroll to shops, transport and prestigious schools.  "
12,Mosman,House,5,4,4,594,,7360000,05-Jun-2026,"Timeless French-Provincial Elegance in Exclusive Clifton Gardens. Set in one of Mosman's most tightly held harbourside enclaves, this impressive family residence offers a rare combination of prestige, tranquillity and space, preserved from the high-density apartment developments in neighbouring suburbs. "
13,Mosman,House,6,4,3,879,,7260000,04-Jun-2026,"Showcasing a sweeping Middle Harbour panorama with the bright lights of North Sydney, St Leonards and Chatswood glistening in the background, this commanding family home combines the luxury of space with everyday practicality from an elevated Beauty Point address."
14,Mosman,House,4,3,2,379,,3390000,02-Jun-2026,"Classic Federation Grandeur Meets Contemporary Sophistication. Set within a prized Mosman address, this freestanding residence blends enduring character with contemporary refinement across a flowing Two-level design. Established gardens and a sun-washed verandah create a welcoming first impression, while inside, period details - timber floors, leadlight windows, bay windows, picture rails and ornate fireplaces - evoke warmth and sophistication."
